Number of Clients,Total turn-around time,Average turn-around time
50,203792.0,4075.84
50,204544.0,4090.88
50,205296.0,4105.92
50,206048.0,4120.96
50,206800.0,4136.0
50,207552.0,4151.04
50,208304.0,4166.08
50,209056.0,4181.12
50,209808.0,4196.16
50,210560.0,4211.2
50,211312.0,4226.24
50,212064.0,4241.28
50,212816.0,4256.32
50,213568.0,4271.36
50,214320.0,4286.4
50,215072.0,4301.44
50,215824.0,4316.48
50,216576.0,4331.52
50,217328.0,4346.56
50,218080.0,4361.6
50,218832.0,4376.64
50,219584.0,4391.68
50,220336.0,4406.72
50,221088.0,4421.76
50,221840.0,4436.8
50,222592.0,4451.84
50,223344.0,4466.88
50,224096.0,4481.92
50,224848.0,4496.96
50,225600.0,4512.0
50,226352.0,4527.04
50,227104.0,4542.08
50,227856.0,4557.12
50,228608.0,4572.16
50,229360.0,4587.2
50,230112.0,4602.24
50,230864.0,4617.28
50,231616.0,4632.32
50,232368.0,4647.36
50,233120.0,4662.4
50,233872.0,4677.44
50,234624.0,4692.48
50,235376.0,4707.52
50,236128.0,4722.56
50,236880.0,4737.6
50,237632.0,4752.64
50,238384.0,4767.68
50,239136.0,4782.72
50,239888.0,4797.76
50,240640.0,4812.8
50,241392.0,4827.84
50,242144.0,4842.88
50,242896.0,4857.92
50,243648.0,4872.96
50,244400.0,4888.0
50,245152.0,4903.04
50,245904.0,4918.08
50,246656.0,4933.12
50,247408.0,4948.16
50,248160.0,4963.2
50,248912.0,4978.24
50,249664.0,4993.28
50,250416.0,5008.32
50,251168.0,5023.36
50,251920.0,5038.4
50,252672.0,5053.44
50,253424.0,5068.48
50,254176.0,5083.52
50,254928.0,5098.56
50,255680.0,5113.6
50,256432.0,5128.64
50,257184.0,5143.68
50,257936.0,5158.72
50,258688.0,5173.76
50,259440.0,5188.8
50,260192.0,5203.84
50,260944.0,5218.88
50,261696.0,5233.92
50,262448.0,5248.96
50,263200.0,5264.0
50,263952.0,5279.04
50,264704.0,5294.08
50,265456.0,5309.12
50,266208.0,5324.16
50,266960.0,5339.2
50,267712.0,5354.24
50,268464.0,5369.28
50,269216.0,5384.32
50,269968.0,5399.36
50,270720.0,5414.4
50,271472.0,5429.44
50,272224.0,5444.48
50,272976.0,5459.52
50,273728.0,5474.56
50,274480.0,5489.6
50,275232.0,5504.64
50,275984.0,5519.68
50,276736.0,5534.72
50,277488.0,5549.76
50,278240.0,5564.8
50,278992.0,5579.84
50,279744.0,5594.88
50,280496.0,5609.92
50,281248.0,5624.96
50,282000.0,5640.0
50,282752.0,5655.04
50,283504.0,5670.08
50,284256.0,5685.12
50,285008.0,5700.16
50,285760.0,5715.2
50,286512.0,5730.24
50,287264.0,5745.28
50,288016.0,5760.32
50,288768.0,5775.36
50,289520.0,5790.4
50,290272.0,5805.44
50,291024.0,5820.48
50,291776.0,5835.52
50,292528.0,5850.56
50,293280.0,5865.6
50,294032.0,5880.64
50,294784.0,5895.68
50,295536.0,5910.72
50,296288.0,5925.76
50,297040.0,5940.8
50,297792.0,5955.84
50,298544.0,5970.88
50,299296.0,5985.92
50,300048.0,6000.96
50,300800.0,6016.0
50,301552.0,6031.04
50,302304.0,6046.08
50,303056.0,6061.12
50,303808.0,6076.16
50,304560.0,6091.2
50,305312.0,6106.24
50,306064.0,6121.28
50,306816.0,6136.32
50,307568.0,6151.36
50,308320.0,6166.4
50,309072.0,6181.44
50,309824.0,6196.48
50,310576.0,6211.52
50,311328.0,6226.56
50,312080.0,6241.6
50,312832.0,6256.64
50,313584.0,6271.68
50,314336.0,6286.72
50,315088.0,6301.76
50,315840.0,6316.8
50,316592.0,6331.84
50,317344.0,6346.88
50,318096.0,6361.92
50,318848.0,6376.96
50,319600.0,6392.0
50,320352.0,6407.04
50,321104.0,6422.08
50,321856.0,6437.12
50,322608.0,6452.16
50,323360.0,6467.2
50,324112.0,6482.24
50,324864.0,6497.28
50,325616.0,6512.32
50,326368.0,6527.36
50,327120.0,6542.4
50,327872.0,6557.44
50,328624.0,6572.48
50,329376.0,6587.52
50,330128.0,6602.56
50,330880.0,6617.6
50,331632.0,6632.64
50,332384.0,6647.68
50,333136.0,6662.72
50,333888.0,6677.76
50,334640.0,6692.8
50,335392.0,6707.84
50,336144.0,6722.88
50,336896.0,6737.92
50,337648.0,6752.96
50,338400.0,6768.0
50,339152.0,6783.04
50,339904.0,6798.08
50,340656.0,6813.12
50,341408.0,6828.16
50,342160.0,6843.2
50,342912.0,6858.24
50,343664.0,6873.28
50,344416.0,6888.32
50,345168.0,6903.36
50,345920.0,6918.4
50,346672.0,6933.44
50,347424.0,6948.48
50,348176.0,6963.52
50,348928.0,6978.56
50,349680.0,6993.6
50,350432.0,7008.64
50,351184.0,7023.68
50,351936.0,7038.72
50,352688.0,7053.76
50,353440.0,7068.8
50,354192.0,7083.84
50,354944.0,7098.88
50,355696.0,7113.92
50,356448.0,7128.96
50,357200.0,7144.0
50,357952.0,7159.04
50,358704.0,7174.08
50,359456.0,7189.12
50,360208.0,7204.16
50,360960.0,7219.2
50,361712.0,7234.24
50,362464.0,7249.28
50,363216.0,7264.32
50,363968.0,7279.36
50,364720.0,7294.4
50,365472.0,7309.44
50,366224.0,7324.48
50,366976.0,7339.52
50,367728.0,7354.56
50,368480.0,7369.6
50,369232.0,7384.64
50,369984.0,7399.68
50,370736.0,7414.72
50,371488.0,7429.76
50,372240.0,7444.8
50,372992.0,7459.84
50,373744.0,7474.88
50,374496.0,7489.92
50,375248.0,7504.96
50,376000.0,7520.0
50,376752.0,7535.04
50,377504.0,7550.08
50,378256.0,7565.12
50,379008.0,7580.16
50,379760.0,7595.2
50,380512.0,7610.24
50,381264.0,7625.28
50,382016.0,7640.32
50,382768.0,7655.36
50,383520.0,7670.4
50,384272.0,7685.44
50,385024.0,7700.48
50,385776.0,7715.52
50,386528.0,7730.56
50,387280.0,7745.6
50,388032.0,7760.64
50,388784.0,7775.68
50,389536.0,7790.72
50,390288.0,7805.76
50,391040.0,7820.8
50,391792.0,7835.84
50,392544.0,7850.88
50,393296.0,7865.92
50,394048.0,7880.96
50,394800.0,7896.0
50,395552.0,7911.04
50,396304.0,7926.08
50,397056.0,7941.12
50,397808.0,7956.16
50,398560.0,7971.2
50,399312.0,7986.24
50,400064.0,8001.28
50,400816.0,8016.32
50,401568.0,8031.36
50,402320.0,8046.4
50,403072.0,8061.44
50,403824.0,8076.48
50,404576.0,8091.52
50,405328.0,8106.56
50,406080.0,8121.6
50,406832.0,8136.64
50,407584.0,8151.68
50,408336.0,8166.72
50,409088.0,8181.76
50,409840.0,8196.8
50,410592.0,8211.84
50,411344.0,8226.88
50,412096.0,8241.92
50,412848.0,8256.96
50,413600.0,8272.0
50,414352.0,8287.04
50,415104.0,8302.08
50,415856.0,8317.12
50,416608.0,8332.16
50,417360.0,8347.2
50,418112.0,8362.24
50,418864.0,8377.28
50,419616.0,8392.32
50,420368.0,8407.36
50,421120.0,8422.4
50,421872.0,8437.44
50,422624.0,8452.48
50,423376.0,8467.52
50,424128.0,8482.56
50,424880.0,8497.6
50,425632.0,8512.64
50,426384.0,8527.68
50,427136.0,8542.72
50,427888.0,8557.76
50,428640.0,8572.8
50,429392.0,8587.84
50,430144.0,8602.88
50,430896.0,8617.92
50,431648.0,8632.96
50,432400.0,8648.0
50,433152.0,8663.04
50,433904.0,8678.08
50,434656.0,8693.12
50,435408.0,8708.16
50,436160.0,8723.2
50,436912.0,8738.24
50,437664.0,8753.28
50,438416.0,8768.32
50,439168.0,8783.36
50,439920.0,8798.4
50,440672.0,8813.44
50,441424.0,8828.48
50,442176.0,8843.52
50,442928.0,8858.56
50,443680.0,8873.6
50,444432.0,8888.64
50,445184.0,8903.68
50,446673.0,8933.46
50,448162.0,8963.24
50,449651.0,8993.02
50,451140.0,9022.8
50,452629.0,9052.58
50,454118.0,9082.36
50,455607.0,9112.14
50,457096.0,9141.92
50,458585.0,9171.7
50,460074.0,9201.48
50,461563.0,9231.26
50,463052.0,9261.04
50,464541.0,9290.82
50,466030.0,9320.6
50,467519.0,9350.38
50,469008.0,9380.16
50,470497.0,9409.94
50,471986.0,9439.72
